original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"Acland (Arthur H. D., Sir) and Jones (Benjamin)- Working-men co-operators : an account of the co-operative movement in Great Britain. Rev. by J. P. Madams. 4th ed. 64 x 41, pp. 219 (Manchester) CO-OPERATIVE UNION, Mar.'22",2,10.0,,"Acland (Arthur H. D., Sir) and Jones (Benjamin)",Working-men co-operators : an account of the co-operative movement in Great Britain. Rev. by J. P. Madams. 4th ed.,,"64 x 41, pp. 219 (Manchester)",CO-OPERATIVE UNION,Mar. 22,False,1922
"Acres (W. Marston)-Notes on the historical and literary associations of the City of London. 7} x 5, pp. 64, swd. is. net. ATHENAEUM Pr., June '22",2,10.0,,Acres (W. Marston),Notes on the historical and literary associations of the City of London.,,"7} x 5, pp. 64, swd. is. net.",ATHENAEUM PR.,June 22,False,1922
"Acton (Beatrice)—Verses from the borderland. 8vo, pp. 110, 43. 6d. net. THACKER, Nov. '22",2,10.0,,Acton (Beatrice),Verses from the borderland.,"8vo,","pp. 110, 43. 6d. net.",THACKER,Nov. 22,False,1922
"Acts (Local and Private) passed in the roth and urth year of the reign of George V., with an index. 45. 3d. net........H.M.S.O., Mar. '22",2,10.0,,,"Acts (Local and Private) passed in the roth and urth year of the reign of George V., with an index.",,45. 3d. net,H.M. STATIONERY OFF.,Mar. 22,False,1922
"Acts of Parliament-Local and private Acts passed in the with and 12th years of the reign of H.M. King George V. ; with index. 35. 6d. net ...H.M.S.O., 1922 Acts (Public General) —Table showing effect of the Acts passed in the with and 12th years of the reign of H.M. George V. IS, 6d. net. H.M.S.O., Apr. '22",2,10.0,,,Acts of Parliament-Local and private Acts passed in the with and 12th years of the reign of H.M. King George V. ; with index.,,35. 6d. net,H.M. STATIONERY OFF.,1922,False,1922
"Acts of Parliament-Local and private Acts passed in the with and 12th years of the reign of H.M. King George V. ; with index. 35. 6d. net ...H.M.S.O., 1922 Acts (Public General) —Table showing effect of the Acts passed in the with and 12th years of the reign of H.M. George V. IS, 6d. net. H.M.S.O., Apr. '22",2,10.0,,,Acts (Public General) —Table showing effect of the Acts passed in the with and 12th years of the reign of H.M. George V.,,"IS, 6d. net.",H.M. STATIONERY OFF.,Apr. 22,False,1922
"Acts of Parliament-Local and private. Church of Scotland (general trustees) order, iis. net; Dorward's House of Refuge (Montrose) order, IS.; Edinburgh Corporation order, 25. 3d. ; Greenock Corporation order, 25.; Perth Cor- poration (waterworks, &c.) order, 2s. 3d. net H.M.S.O., Jan. '22",2,10.0,,,"Acts of Parliament-Local and private. Church of Scotland (general trustees) order, iis. net; Dorward's House of Refuge (Montrose) order, IS.; Edinburgh Corporation order, 25. 3d. ; Greenock Corporation order, 25.; Perth Cor- poration (waterworks, &c.) order, 2s. 3d. net",,,H.M. STATIONERY OFF.,Jan. 22,False,1922
"Acts of Parliament-Oban Burgh order, 6d.; East Lothian County buildings order, 6d.; Dundee Corporation order, is. ód. net H.M.S.O., Jan.'22",2,10.0,,,"Acts of Parliament-Oban Burgh order, 6d.; East Lothian County buildings order, 6d.; Dundee Corporation order, is. ód. net",,,H.M. STATIONERY OFF.,Jan. 22,False,1922
"Acts of Parliament-Anglo-Persian Oil Company, 2d.; Audit (local authorities), 2d.; Bread (amend.). 2d.; British Empire Exhibition (amend.), 2d. ; Canals (charging powers), 2d.; Coroners (emergency provisions continuance), 2d. ; Consolidated Fund, No. 1—2, ea. 2d.; Diseases of animals, 2d.; E. India loans (railways, etc.), 2d. ; Finance, gd.; Gaming, 2d.; Govt. of N. Ireland (loan), 2d. ; Govt. of Soudan (loan), 2d.; Harbours, docks and piers (increase of charges), ad. ; Infanticide, Irish Free State (agreement), 3d. ; Juries, 3d.; Kenya divorces (validity), 2d.; Pawnbrokers, 2d. ; Sale of tea, 2d. ; Summer time, 2d.; Treaties of Washington, 3d. ; Unemployment insurance, 6d. ; do., No. 2, 2d.; Army Act, 1922, is. (all net). H.M.S.O., Jan.-July,''22",2,10.0,,,"Acts of Parliament-Anglo-Persian Oil Company, 2d.; Audit (local authorities), 2d.; Bread (amend.). 2d.; British Empire Exhibition (amend.), 2d. ; Canals (charging powers), 2d.; Coroners (emergency provisions continuance), 2d. ; Consolidated Fund, No. 1—2, ea. 2d.; Diseases of animals, 2d.; E. India loans (railways, etc.), 2d. ; Finance, gd.; Gaming, 2d.; Govt. of N. Ireland (loan), 2d. ; Govt. of Soudan (loan), 2d.; Harbours, docks and piers (increase of charges), ad. ; Infanticide, Irish Free State (agreement), 3d. ; Juries, 3d.; Kenya divorces (validity), 2d.; Pawnbrokers, 2d. ; Sale of tea, 2d. ; Summer time, 2d.; Treaties of Washington, 3d. ; Unemployment insurance, 6d. ; do., No. 2, 2d.; Army Act, 1922, is. (all net).",,,H.M. STATIONERY OFF.,Jan.- July 22,False,1922
"Acts of Parliament- Local and private. Ayr Burgh (tramways, etc.), 25. 9d.; Highland Ry., 6d.; Kilmarnock gas, 6d.; do., water, 3d. ; Melville Trust order, is. 6d. ; Metropolitan Ry., 6d.; Ministry of Health provis. order (Cardiff exten.), .3s. ; Pilotage orders (No. 2), is. 6.; Provisional order (marriages), 3d.; Stirling Corporation (water, etc.), Is. 3d. ; Tees Conservancy, 3d. (all net). H.^.S.O., Jan.-July, '22",2,10.0,,,"Acts of Parliament- Local and private. Ayr Burgh (tramways, etc.), 25. 9d.; Highland Ry., 6d.; Kilmarnock gas, 6d.; do., water, 3d. ; Melville Trust order, is. 6d. ; Metropolitan Ry., 6d.; Ministry of Health provis. order (Cardiff exten.), .3s. ; Pilotage orders (No. 2), is. 6.; Provisional order (marriages), 3d.; Stirling Corporation (water, etc.), Is. 3d. ; Tees Conservancy, 3d. (all net).",,,H.M. STATIONERY OFF.,Jan.- July 22,False,1922
"Acts of Parliament--Local and private. Liverpool Corporation, 378. net......H.M.S.O., Feb. '22",2,10.0,,,"Acts of Parliament--Local and private. Liverpool Corporation, 378. net",,,H.M. STATIONERY OFF.,Feb. 22,False,1922
"Acts of Parliament-Army and Air Force (annual) 3d. ; East India loans, 2d.; Kenya divorces (validity), 2d... ..H.M.S.O., Apr. '22",2,10.0,,,"Acts of Parliament-Army and Air Force (annual) 3d. ; East India loans, 2d.; Kenya divorces (validity), 2d...",,,H.M. STATIONERY OFF.,Apr. 22,False,1922
"Acts of Parliament- Public General Acts, 1921. 8vo, 6s, net .H.M.S.O., A pr. '22",2,10.0,,,"Acts of Parliament- Public General Acts, 1921.","8vo,","6s, net .",H.M. STATIONERY OFF.,Apr. 22,False,1922
"Acts of Parliament-Public general acts passed in the uth and 12th years of the reign of H.M. George V: Table showing the effect on the. IS. Od. net. H.M.S.O., May'22",2,10.0,,,Acts of Parliament-Public general acts passed in the uth and 12th years of the reign of H.M. George V: Table showing the effect on the.,,IS. Od. net.,H.M. STATIONERY OFF.,May 22,False,1922
"Acts of Parliament-Empire settlement, 2d, ; Juries, 3d.; Representation of the people, 2d. net.... ....H.M.S.O., June '22",2,10.0,,,"Acts of Parliament-Empire settlement, 2d, ; Juries, 3d.; Representation of the people, 2d. net.",,,H.M. STATIONERY OFF.,June 22,False,1922
"Acts of Parliament: Local and private. Madras Railway annuities. 6d. net H.M.S.O., June '22",2,10.0,,,Acts of Parliament: Local and private. Madras Railway annuities.,,6d. net,H.M. STATIONERY OFF.,June 22,False,1922
"Acts of Parliament-Local and private. Milford docks. ed. net .H.M.S.O., June '22",2,10.0,,,Acts of Parliament-Local and private. Milford docks.,,ed. net .,H.M. STATIONERY OFF.,June 22,False,1922
"Acts of Parliament-Air Ministry (Kenley Com- mon), 3d. ; Allotments, 6d.; Do. (Scotland), 6d. ; Appropriation, yd.; British nationality and status of aliens, 2d. ; Celluloid and cinema film, 6d. ; Constabulary (Ireland), 3d. ; Criminal law amend., 2d. ; Education (Scot- land : superannuation), 2d. ; Electricity (sup- ply), 6d. ; Expiring laws, 3d.; Indian High Courts, 2d. ; Isle of Man (customs), 2d. ; Law of property, 8s.; Local govt. and other officers' superannuation, 6d.; Lunacy, 2d. ; Milk and dairies, 3d. ; National health in- surance, 2d. ; Naval discipline, 3d.; Oil in navigable waters, 3d.; Post Office (parcels), 2d.; do. (pneumatic tubes acquisition), 3d. ; Public works loans, 2d. ; Railway and Canal Commis. (consents), 2d.; Representation of the people (No. 2), 2d.; School teachers (superannuation), 2d.; Solicitors, 3d.; Tele- graph (money), 2d. ; Universities (Scot.), 2d. ; War service canteens (disposal of surplus), 2d. ; Whale fisheries (Scot.) amend., 2d. ; Air Force Act, 35. (all net)........H.M.S.O., Aug. '22",2,10.0,,,"Acts of Parliament-Air Ministry (Kenley Com- mon), 3d. ; Allotments, 6d.; Do. (Scotland), 6d. ; Appropriation, yd.; British nationality and status of aliens, 2d. ; Celluloid and cinema film, 6d. ; Constabulary (Ireland), 3d. ; Criminal law amend., 2d. ; Education (Scot- land : superannuation), 2d. ; Electricity (sup- ply), 6d. ; Expiring laws, 3d.; Indian High Courts, 2d. ; Isle of Man (customs), 2d. ; Law of property, 8s.; Local govt. and other officers' superannuation, 6d.; Lunacy, 2d. ; Milk and dairies, 3d. ; National health in- surance, 2d. ; Naval discipline, 3d.; Oil in navigable waters, 3d.; Post Office (parcels), 2d.; do. (pneumatic tubes acquisition), 3d. ; Public works loans, 2d. ; Railway and Canal Commis. (consents), 2d.; Representation of the people (No. 2), 2d.; School teachers (superannuation), 2d.; Solicitors, 3d.; Tele- graph (money), 2d. ; Universities (Scot.), 2d. ; War service canteens (disposal of surplus), 2d. ; Whale fisheries (Scot.) amend., 2d. ; Air Force Act, 35. (all net).",,,H.M. STATIONERY OFF.,Aug. 22,False,1922
"Acts of Parliament-Local and private : Legal and General Assurance Soc., Ltd., 35. net; Leicester freemen, gd, net. H.M.S.O., Aug. '22",2,10.0,,,"Acts of Parliament-Local and private : Legal and General Assurance Soc., Ltd., 35. net; Leicester freemen, gd, net.",,,H.M. STATIONERY OFF.,Aug. 22,False,1922
"Acts of Parliament-Local and private. Aberdeen Corporation order, 25.; Blackburn Corpn., 55.; Board of Education scheme (Dewsbury Endowed Sch.), 6d.; Bristol Corpn., ed. net; Buckhaven and Leven gas, gd. ; Caledonian Ry, order, is. 3d. ; City of London (various powers), is. ; Colne Valley water, 3s. ; Dumfries and Maxwelltown water. works, Is.; Girvan water, 25. 3d.; Glasgow Corpn. order , 25. 6d.; Glasgow and Rutherglen Corpn, order, gd. ; Grangemouth Burgh exten- sion, is. 3d.; Greenock port and harbours, is, 6d.; Hampshire rivers fisheries, is. 6.; Land drainage provis. orders, No. 1, od. ; No. 2, IS. ; L.C.C. (general powers), 9d.; do. (money), gd.; Louth Baptist Congregational Chapels scheme, 9d.; Ministry of Health provis. orders, No. 2, is. 3d.; No. 3, 6d. ; No. 4, is. gd. ; No. 5, is.; No. 6, is. 3d. No. 7, is. 3d. ; No. 8, IS.; No. 9, is. 3d. ; No. 10, IS. 3d. ; do. (Guildford exten.), is. 6d.; do. (Water), 9d.; Newhaven and Seaford water, 25. 3d. ; Norfolk fisheries provis. order, 3d.; Northampton Corpn., 25. 6d.; Notting- ham Corpn. (Trent navigation), 6d. ; Notting- hamshire and Derbyshire tramways, 25. ; Ossett Corpn. (water), Is. 3d. ; Pier and har. bours orders, is. gd.; Pilotage orders, No. 1, is. 3d. ; No. 3, 9d.; No. 4, Is. 3d. ; Rugby School, is.; Sheffield gas, Is. 3d.; Stock Conversions and Invest. Trust, Ltd., 6d.; Stoke-on-Trent gas, 35. 3d.; Taw and Tor- ridge fisheries, is. 6d. ; Towy fisheries, Is. 6d. ; Tramways order, is. 3d. ; Yorkshire electric power, 9d. (all net). .H.M.S.O., Sep. '22",2,10.0,,,,,,,,True,1922
"Adams (John)—Modern developments in educa- tional practice. Cr. 8vo. 75 X 5, pp., 318, 6s. net.. .UNIV. OF LONDON, July 22",3,11.0,,Adams (John),Modern developments in educa- tional practice.,Cr. 8vo.,"75 X 5, pp., 318, 6s. net.. .",UNIV. OF LONDON PR.,July 22,False,1922
"Adams (John) ed.-New teaching. Popular ed 8vo. 9 X 5t, pp. 435, 75. 6d. net. HODDER & S., Nov. '22",3,11.0,,Adams (John) ed.,New teaching. Popular ed,8vo.,"9 X 5t, pp. 435, 75. 6d. net.",HODDER & S.,Nov. 22,False,1922
"Adams (John)-The Student's guide. 5th impr. Cr. 8vo. 7£ X 5, pp. 302, 3s. 6d. net. UNIV. OF LONDON PR., Aug. '22",3,11.0,,Adams (John),The Student's guide. 5th impr.,Cr. 8vo.,"7£ X 5, pp. 302, 3s. 6d. net.",UNIV. OF LONDON PR.,Aug. 22,False,1922
"Adams (Samuel Hopkins)-Success : a novel. Cr. 8vo. 71 X 5, pp. 553, 8s. 6d. net CONSTABLE, Feb. '22",3,11.0,,Adams (Samuel Hopkins),Success : a novel.,Cr. 8vo.,"71 X 5, pp. 553, 8s. 6d. net",CONSTABLE,Feb. 22,False,1922
"Adcock (A. St. John)-The Divine tragedy. Cr. 8vo. 71 x 51, pp. 92, 5s, net. SELWYN & B., Sept. '22",3,11.0,,Adcock (A. St. John),The Divine tragedy.,Cr. 8vo.,"71 x 51, pp. 92, 5s, net.",SELWYN & B.,Sept. 22,False,1922
"Acts of Parliament–Local and private. Durham County Water Bd., 35. 9d.; Staffordshire asylums, 25. od.; Ayr Burgh (electricity), 3. 3d. ; Cambridge Corporation, 45. 6d.; Šouth Staffordshire Waterworks, 3s. 9d. ; Kingston-upon-Hull Corporation, Shepton Mallet waterworks, 28. 3d. net. H.M.S.O., Dec. '22",3,11.0,,,"Acts of Parliament–Local and private. Durham County Water Bd., 35. 9d.; Staffordshire asylums, 25. od.; Ayr Burgh (electricity), 3. 3d. ; Cambridge Corporation, 45. 6d.; Šouth Staffordshire Waterworks, 3s. 9d. ; Kingston-upon-Hull Corporation, Shepton Mallet waterworks, 28. 3d. net.",,,H.M. STATIONERY OFF.,Dec. 22,False,1922
"Adair (Cecil)—The Cactus hedge. Cheap ed. Cr. 8vo, 64 x 41, pp. 244, 2s. net. S. PAUL, Nov.'22",3,11.0,,Adair (Cecil),The Cactus hedge. Cheap ed.,"Cr. 8vo,","64 x 41, pp. 244, 2s. net.",S. PAUL,Nov. 22,False,1922
"Adair (Cecil)-Francesca. Cheap ed., 18mo. 64 x 43, pp. 254, 25. net ....S. PAUL, June '22",3,11.0,,Adair (Cecil),"Francesca. Cheap ed.,",18mo.,"64 x 43, pp. 254, 25. net ....",S. PAUL,June 22,False,1922
"Adair (Cecil)—Happy chance. Cr. 8vo. 73 X 5, pp. 256, 7s, 6d. net .S. PAUL, May'22",3,11.0,,Adair (Cecil),Happy chance.,Cr. 8vo.,"73 X 5, pp. 256, 7s, 6d. net .",S. PAUL,May 22,False,1922
"Adair (Cecil)—Maid of the Moonflower. 3rd ed. 18mo. 61 x 41, pp. 253, 25. net S. PAUL, June '22",3,11.0,,Adair (Cecil),Maid of the Moonflower. 3rd ed.,18mo.,"61 x 41, pp. 253, 25. net",S. PAUL,June 22,False,1922
"Adair (Cecil)—The Mist pool. Cheap cd. 18mo. 64x4), pp. 256, 25. net....S. PAUL, May'22",3,11.0,,Adair (Cecil),The Mist pool. Cheap cd.,18mo.,"64x4), pp. 256, 25. net....",S. PAUL,May 22,False,1922
"Adair (Cecil)--Monks-Lyonness. Cheap ed. 18mo, 61 x 41, pp. 254, 2s, net. S. PAUL, Nov. '22",3,11.0,,Adair (Cecil),Monks-Lyonness. Cheap ed.,"18mo,","61 x 41, pp. 254, 2s, net.",S. PAUL,Nov. 22,False,1922
"Adair (Cecil) -Quadrille Court. Ch. ed. 18mo. 64 x 44, pp. 253, 25. net......S. PAUL, May'22",3,11.0,,Adair (Cecil),Quadrille Court. Ch. ed.,18mo.,"64 x 44, pp. 253, 25. net......",S. PAUL,May 22,False,1922
"Adair (Cecil)—Where rainbows rest. Cr. 8vo, 71% 5, pp. 256, 7. 6d. net. S. PAUL, Nov. '22",3,11.0,,Adair (Cecil),Where rainbows rest.,"Cr. 8vo,","71% 5, pp. 256, 7. 6d. net.",S. PAUL,Nov. 22,False,1922
"Adams (C. L.)-Insurance points worth knowing: Cr. 8vo. 71 x 44, pp. 128, 25. 6d. net OUSELEY, May'22",3,11.0,,Adams (C. L.),Insurance points worth knowing:,Cr. 8vo.,"71 x 44, pp. 128, 25. 6d. net",OUSELEY,May 22,False,1922
"Adams Elisabeth B.)-My cat Prospêro : pioneer who hridged the gulf between the and the unseen. 71 x 5, pp 167, 58. net HUTCHINSON, Apr. '22",3,11.0,,Adams Elisabeth B.),My cat Prospêro : pioneer who hridged the gulf between the and the unseen.,,"71 x 5, pp 167, 58. net",HUTCHINSON,Apr. 22,False,1922
"Adams (Elizabeth K.)-Women professional workers. Cr. 8vo. pp. 467, 138. net MACMILLAN, Jan.'22",3,11.0,,Adams (Elizabeth K.),Women professional workers.,Cr. 8vo.,"pp. 467, 138. net",MACMILLAN,Jan. 22,False,1922
"Adams (Elmer C.)-Heroines of modern progress. Cr. 8vo, ios, net.. . MACMILLAN, May '22",3,11.0,,Adams (Elmer C.),Heroines of modern progress.,"Cr. 8vo,","ios, net.. .",MACMILLAN,May 22,False,1922
"Adams (George Burton)-Civilisation during the Middle Ages: especially in relation to modern civilisation. Rev. ed. 8vo, 8} x 54, pp. 462, 12s. 6d. net.... ..SCRIBNERS, Dec. '22",3,11.0,,Adams (George Burton),Civilisation during the Middle Ages: especially in relation to modern civilisation. Rev. ed.,"8vo,","8} x 54, pp. 462, 12s. 6d. net.... ..",SCRIBNERS,Dec. 22,False,1922
"Adams (Henry C.)-Waterworks : for urban and rural districts. With notes on the supply for mansions and isolated buildings. 8vo. 8} x 55, pp. 240, 15s. net........ PITMAN, Aug. '22",3,11.0,,Adams (Henry C.),Waterworks : for urban and rural districts. With notes on the supply for mansions and isolated buildings.,8vo.,"8} x 55, pp. 240, 15s. net........",PITMAN,Aug. 22,False,1922
"Addams (Jane)—Peace and bread in time of war. 74% 54, pp. 266, 6s. 6d. net IS. 60. MACMILLAN, May '22",3,11.0,,Addams (Jane),Peace and bread in time of war.,,"74% 54, pp. 266, 6s. 6d. net IS. 60.",MACMILLAN,May 22,False,1922
