entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
"Agriculture, Board of—Report, 1907 (Intelligence Division), 5d. WYMAN, Sep. 08",,,"Agriculture, Board of—Report",WYMAN,5d.,0.020833333333333332,,"Agriculture, Board of—Report, 1907 (Intelligence Division), 5d. WYMAN, Sep. 08",,,,Sep. 08,
"Agriculture in Asia Minor, Report on, with special reference to Cotton Cultivation, is. W'YMAN, Oct. 08",,,"Agriculture in Asia Minor, Report on, with special reference to Cotton Cultivation, is",W'YMAN,,0.0,,"Agriculture in Asia Minor, Report on, with special reference to Cotton Cultivation, is. W'YMAN, Oct. 08",,,,Oct. 08,
"Aladdin and the Wonderful Lamp. Post 8vo. pp. 52, 3d., swd. 2d (Chambers's Narrative Readers) ..CHAMBERS, July 08",,,Aladdin and the Wonderful Lamp,CHAMBERS,2d,0.008333333333333333,8vo.,"Aladdin and the Wonderful Lamp. Post 8vo. pp. 52, 3d., swd. 2d (Chambers's Narrative Readers) ..CHAMBERS, July 08",,,,July 08,
"Algeria, Trade and Agriculture of: Consular Report, 4}d. WYMAN, Nov. 08",,,"Algeria, Trade and Agriculture of: Consular Report",WYMAN,,0.0,,"Algeria, Trade and Agriculture of: Consular Report, 4}d. WYMAN, Nov. 08",,,,Nov. 08,
"Ali Baba and the Forty Thieves. Post 8vo., pp. 36, 3d., swd. 2d. (Chambers's Narrative Readers) . CHAMBERS, May 08",,,Ali Baba and the Forty Thieves,CHAMBERS,2d.,0.008333333333333333,8vo.,"Ali Baba and the Forty Thieves. Post 8vo., pp. 36, 3d., swd. 2d. (Chambers's Narrative Readers) . CHAMBERS, May 08",,,,May 08,
"Alien-The Perf«ct Union. Cr. 8vo. 71 x 41, pp DIGBY, L., June 08",,,Alien-The Perf«ct Union,"DIGBY, L.",,0.0,8vo.,"Alien-The Perf«ct Union. Cr. 8vo. 71 x 41, pp DIGBY, L., June 08",,,,June 08,
"Aliens Act, 1905-Second Annual Report of II. M. Inspector, 8d. ........ WYMAN, May 08",,,Aliens Act,WYMAN,8d.,0.03333333333333333,,"Aliens Act, 1905-Second Annual Report of II. M. Inspector, 8d. ........ WYMAN, May 08",,,,May 08,
"All Shall be Well. 8vo. 45 X 5, is. net MOWBRAY, Nov. 08",,,All Shall be Well,MOWBRAY,,0.0,8vo.,"All Shall be Well. 8vo. 45 X 5, is. net MOWBRAY, Nov. 08",,,,Nov. 08,
"Allotte de la Fuije (Le Colonel) - Documents Présargoniques Fasc. i Première Parties ; 25 planches. De à 25, avec introduction. Large 4to. 36s. net .... LUZAC, Sep. 08",,,Allotte de la Fuije (Le Colonel) - Documents Présargoniques Fasc,LUZAC,36s.,1.8,4to.,"Allotte de la Fuije (Le Colonel) - Documents Présargoniques Fasc. i Première Parties ; 25 planches. De à 25, avec introduction. Large 4to. 36s. net .... LUZAC, Sep. 08",,,,Sep. 08,net
"Alltagliches. Edit. hy M. B. Lambert. Cr. 8vo. 25, 6d. D. C. HEATH, July 08",,,Alltagliches,D. C. HEATH,6d.,0.025,8vo.,"Alltagliches. Edit. hy M. B. Lambert. Cr. 8vo. 25, 6d. D. C. HEATH, July 08",,,,July 08,
"Almanach de Gotha, 1909. 18mo. os. 60. DILAU, Dec. 08",,,Almanach de Gotha,DILAU,,0.0,18mo.,"Almanach de Gotha, 1909. 18mo. os. 60. DILAU, Dec. 08",,,,Dec. 08,
"Alpine Plants at Home. ist Series. 18nio, swd 6d. net ..... GOWANS & G., Mar. 08",,,Alpine Plants at Home,GOWANS & G.,6d.,0.025,,"Alpine Plants at Home. ist Series. I8nio, swd 6d. net ..... GOWANS & G., Mar. 08",,,,Mar. 08,net
"Alps, Scrambles amongst the, Whymper (E.) s. net .Oct. 03 Als'on (A. E.) and Turton (Z. H.)-Origines Eucharistic.e. Cr, 8vo. swd. is. GRDNER, D., Feb. 08",,,"Alps, Scrambles amongst the, Whymper (E.) s","GRDNER, D.",,0.0,8vo.,"Alps, Scrambles amongst the, Whymper (E.) IS. net .Oct. 03 Als'on (A. E.) and Turton (Z. H.)-Origines Eucharistic.e. Cr, 8vo. swd. is. GRDNER, D., Feb. 08",,,,Feb. 08,
"Altera Colloquia Latina. Adapted from Erasmus. With notes and vocabulary by G. M. Edwards. 12mo., PP. 160, is, 6d. (Pitt Press Ser.) CAMB. UNIV. PRESS, A pril 08",,,Altera Colloquia Latina,CAMB. UNIV. PRESS,6d.,0.025,12mo.,"Altera Colloquia Latina. Adapted from Erasmus. With notes and vocabulary by G. M. Edwards. 12mo., PP. 160, is, 6d. (Pitt Press Ser.) CAMB. UNIV. PRESS, A pril 08",,,,A pril 08,
"Altesse. 8vo, swd, 6(1. (Family Story Teller) W. STEVENS, July 08",,,Altesse,W. STEVENS,,0.0,"8vo,","Altesse. 8vo, swd, 6(1. (Family Story Teller) W. STEVENS, July 08",,,,July 08,
"American Annual of Photography (The), 1908. 8vo. swd. 3s... ....DAWBARN & W., Jan. os American Anual of Photography (The), 1909. 8vo. swd. 3s. net.... DAWBARN & W., Nov. 08",,,American Annual of Photography (The),DAWBARN & W.,3s.,0.15,8vo.,"American Annual of Photography (The), 1908. 8vo. swd. 3S... ....DAWBARN & W., Jan. os American Anual of Photography (The), 1909. 8vo. swd. 3s. net.... DAWBARN & W., Nov. 08",,,,Nov. 08,net
"American Anthropologist. Vol. 10, No. 1. II plates, 8vo. 10 X64, pp. 186, 6s. net WESLEY, May 08",,,American Anthropologist,WESLEY,6s.,0.3,8vo.,"American Anthropologist. Vol. 10, No. 1. II plates, 8vo. 10 X64, pp. 186, 6s. net WESLEY, May 08",,,,May 08,net
"American Anthropologist. Vol. 10, No. 3. Illus. Ryl. 8vo. 10 X6), pp. 143, 5s. net WESLEY, Dec. 08",,,American Anthropologist,WESLEY,5s.,0.25,8vo.,"American Anthropologist. Vol. 10, No. 3. Illus. Ryl. 8vo. 10 X6), pp. 143, 5s. net WESLEY, Dec. 08",,,,Dec. 08,net
"American Catalogue (The), 1905-1907. 2 vols. 8vo., pp. 1164, } mor. 31s. 6d. net PUBLISHERS' CIRCULAR, Sep, 08",,,American Catalogue (The),PUBLISHERS' CIRCULAR,31s. 6d.,1.575,8vo.,"American Catalogue (The), 1905-1907. 2 vols. 8vo., pp. 1164, } mor. 315. 6d. net PUBLISHERS' CIRCULAR, Sep, 08",,,,"Sep, 08",net
"American Institute of Engineers: The Ontario Meeting, and their tour through the districts of Cobalt, Sudbury and Moose Mountain. 4to. swd. 58. net. . SIMPKIN, Jan. 08",,,"American Institute of Engineers: The Ontario Meeting, and their tour through the districts of Cobalt, Sudbury and Moose Mountain",SIMPKIN,,0.0,4to.,"American Institute of Engineers: The Ontario Meeting, and their tour through the districts of Cobalt, Sudbury and Moose Mountain. 4to. swd. 58. net. . SIMPKIN, Jan. 08",,,,Jan. 08,
"Amphora : Poems, 12mo, 2s, 6d. net BURNS & O., Dec, 08",,,Amphora : Poems,BURNS & O.,2s. 6d.,0.125,"12mo,","Amphora : Poems, I 2mo, 2s, 6d. net BURNS & O., Dec, 08",,,,"Dec, 08",net
"Amsterdam, Consular Report, 2d. WYMAN, Mar. 08",,,"Amsterdam, Consular Report",WYMAN,2d.,0.008333333333333333,,"Amsterdam, Consular Report, 2d. WYMAN, Mar. 08",,,,Mar. 08,
"Ancient Devotions for Holy Communion. From Eastern and Western Liturgical Sources. Compiled by S.A.C. 2nd edit. with Appendix. 12m0. 64x4), pp. 218, 2s. 6d, net, Ithr. 4s. net K. PAUL, May 08",,,Ancient Devotions for Holy Communion,K. PAUL,4s.,0.2,,"Ancient Devotions for Holy Communion. From Eastern and Western Liturgical Sources. Compiled by S.A.C. 2nd edit. with Appendix. 12m0. 64x4), pp. 218, 25. 6d, net, Ithr. 4s. net K. PAUL, May 08",,,,May 08,net
"Anecdota Oxoniensia, Aryan Series, Part 6. Yusuf and Zalikha. Firdansi of Tus. Edit, from the MSS. in the Bodleian Library, &c., by llermann Ethe. Fasciculus primus. 4to., pp. 382, swd, 25s. (Clarendon Press) FROWDE, Mar 08",,,"Anecdota Oxoniensia, Aryan Series, Part 6",FROWDE,25s.,1.25,4to.,"Anecdota Oxoniensia, Aryan Series, Part 6. Yusuf and Zalikha. Firdansi of Tus. Edit, from the MSS. in the Bodleian Library, &c., by llermann Ethe. Fasciculus primus. 4to., pp. 382, swd, 255. (Clarendon Press) FROWDE, Mar 08",,,,Mar 08,
"Angels, Book of, 3s. 6d. net . Jan. os Angier (A. Gorton)--The Far East Revisited. Essays on Political, Commercial, Social and, General conditions in Malaya, China, Korea, and Japan. Illus. 8vo. 9X54, pp. 376 Ios. 6d. net WITHERBY, Oct. 08",,,"Angels, Book of",WITHERBY,6d.,0.025,8vo.,"Angels, Book of, 3s. 6d. net . Jan. os Angier (A. Gorton)--The Far East Revisited. Essays on Political, Commercial, Social and, General conditions in Malaya, China, Korea, and Japan. Illus. 8vo. 9X54, pp. 376 Ios. 6d. net WITHERBY, Oct. 08",,,,Oct. 08,net
"Angler's Diary (The) and Tourist Fisherman's Gazetteer of Rivers and Lakes of the World. Cr. 8vo. 1s. 6d... ...H. Cox, April os Anglican Communion, Conference of Bishops of the : Holden at Lambeth Palace July 27th to August 5th, 1908. Encyclical Letter from the Bishops with the Resolutions and Reports. 8vo., pp. 198, swd. 1s. ....S.P.C.K., Aug. 08",,,Angler's Diary (The) and Tourist Fisherman's Gazetteer of Rivers and Lakes of the World,S.P.C.K.,1s.,0.05,8vo.,"Angler's Diary (The) and Tourist Fisherman's Gazetteer of Rivers and Lakes of the World. Cr. 8vo. Is. 6d... ...H. Cox, April os Anglican Communion, Conference of Bishops of the : Holden at Lambeth Palace July 27th to August 5th, 1908. Encyclical Letter from the Bishops with the Resolutions and Reports. 8vo., pp. 198, swd. Is. ....S.P.C.K., Aug. 08",,,,Aug. 08,
"Anglican Liberalism. By Twelve Churchmen. Cr. 8vo. 71 X5, pp. 312, 5s. (Crown Theological Lib.) WILLIAMS & N., May 08",,,Anglican Liberalism,WILLIAMS & N.,5s.,0.25,8vo.,"Anglican Liberalism. By Twelve Churchmen. Cr. 8vo. 71 X5, pp. 312, 55. (Crown Theological Lib.) WILLIAMS & N., May 08",,,,May 08,
"Anglo-Metric Tables. A Pocket Card of English and Metric Tables, Equivalents and Ready Reckoners. 8vo, id. (30. Theobalds Road) P. E. RADLEY, May 08",,,Anglo-Metric Tables,P. E. RADLEY,,0.0,"8vo,","Anglo-Metric Tables. A Pocket Card of English and Metric Tables, Equivalents and Ready Reckoners. 8vo, id. (30. Theobalds Road) P. E. RADLEY, May 08",,,,May 08,
"Anglo - Saxon Dictionary (An). Based on the MSS. Collections of the late Joseph Bosworth. Supplement by T. Northcote Toller. A-Eorp. 4to, swd. 7s. 6d. net (Clarendon Press) FROWDE, Mar. 08",,,Anglo - Saxon Dictionary (An),FROWDE,7s. 6d.,0.375,"4to,","Anglo - Saxon Dictionary (An). Based on the MSS. Collections of the late Joseph Bosworth. Supplement by T. Northcote Toller. A-Eorp. 4to, swd. 75. 6d. net (Clarendon Press) FROWDE, Mar. 08",,,,Mar. 08,net
"Angola, Consular Report, 2d... WYMAN, Nov. 08",,,"Angola, Consular Report",WYMAN,2d.,0.008333333333333333,,"Angola, Consular Report, 2d... WYMAN, Nov. 08",,,,Nov. 08,
"Animal Body, Regis. of Temperature, Gamgee (A.) 2s. net .Sep. os Animal Friend (The) 1908. Ryl, 8vo. 2s. 6d. OFFICE, Oct. 08",,,"Animal Body, Regis",OFFICE,2s. 6d.,0.125,8vo.,"Animal Body, Regis. of Temperature, Gamgee (A.) 25. net .Sep. os Animal Friend (The) 1908. Ryl, 8vo. 2s. 6d. OFFICE, Oct. 08",,,,Oct. 08,
"Animal Playtime. Pictures by Louis Wain, &c. 4to. bds. 1s. .J. CLARKE, Sep. 08",,,Animal Playtime,J. CLARKE,1s.,0.05,4to.,"Animal Playtime. Pictures by Louis Wain, &c. 4to. bds. Is. .J. CLARKE, Sep. 08",,,,Sep. 08,
